is_fraud,email__first_seen_days,phone__last_seen_days,identity_network_score,identity_risk_score
0.0,0.0,94.0,0.532,148.0
0.0,1434.0,0.0,0.67,65.0
0.0,4271.0,0.0,0.628,147.0
0.0,3031.0,0.0,0.511,17.0
0.0,0.0,125.0,0.636,79.0
0.0,412.0,267.0,0.185,90.0
0.0,12.0,12.0,0.482,341.0
0.0,0.0,0.0,0.579,144.0
0.0,3618.0,586.0,0.284,70.0
0.0,0.0,0.0,0.654,162.0
0.0,928.0,0.0,0.481,67.0
0.0,1578.0,105.0,0.718,267.0
0.0,0.0,6.0,0.611,156.0
0.0,4573.0,0.0,0.385,21.0
0.0,0.0,0.0,0.72,312.0
0.0,0.0,54.0,0.652,319.0
0.0,2894.0,125.0,0.472,143.0
0.0,1465.0,0.0,0.437,193.0
0.0,805.0,0.0,0.438,17.0
0.0,4449.0,0.0,0.495,25.0
0.0,0.0,0.0,0.501,122.0
0.0,2885.0,0.0,0.531,188.0
0.0,212.0,528.0,0.248,55.0
0.0,3249.0,0.0,0.462,76.0
0.0,0.0,0.0,0.433,182.0
0.0,4202.0,775.0,0.249,82.0
0.0,1627.0,0.0,0.457,98.0
0.0,1353.0,0.0,0.474,156.0
0.0,750.0,485.0,0.199,26.0
0.0,1339.0,399.0,0.12,26.0
0.0,4236.0,0.0,0.531,188.0
0.0,4505.0,0.0,0.531,82.0
0.0,0.0,17.0,0.337,170.0
0.0,4060.0,0.0,0.555,14.0
0.0,2195.0,0.0,0.229,31.0
0.0,3489.0,0.0,0.519,56.0
0.0,0.0,0.0,0.531,65.0
0.0,3250.0,153.0,0.125,0.0
0.0,0.0,0.0,0.447,204.0
0.0,0.0,0.0,0.621,199.0
0.0,4852.0,0.0,0.328,123.0
0.0,4855.0,833.0,0.212,54.0
0.0,3436.0,0.0,0.494,106.0
0.0,4563.0,0.0,0.503,129.0
0.0,443.0,0.0,0.488,198.0
0.0,0.0,0.0,0.469,100.0
0.0,1725.0,0.0,0.439,94.0
0.0,4700.0,332.0,0.197,69.0
0.0,276.0,0.0,0.531,79.0
0.0,4282.0,0.0,0.531,60.0
0.0,656.0,587.0,0.184,103.0
0.0,1126.0,7.0,0.54,190.0
0.0,2192.0,0.0,0.229,31.0
0.0,3753.0,0.0,0.499,68.0
0.0,1461.0,0.0,0.372,132.0
0.0,2953.0,0.0,0.556,129.0
0.0,4807.0,574.0,0.261,5.0
0.0,3632.0,476.0,0.586,13.0
0.0,2583.0,2.0,0.156,0.0
0.0,0.0,0.0,0.507,166.0
0.0,3806.0,122.0,0.516,24.0
0.0,0.0,25.0,0.554,300.0
0.0,1644.0,196.0,0.426,152.0
0.0,4767.0,265.0,0.126,40.0
0.0,0.0,0.0,0.531,296.0
0.0,2401.0,0.0,0.382,9.0
0.0,3573.0,37.0,0.629,205.0
0.0,4319.0,0.0,0.648,40.0
0.0,0.0,93.0,0.534,105.0
0.0,3571.0,0.0,0.705,148.0
0.0,0.0,0.0,0.79,371.0
0.0,1092.0,0.0,0.531,181.0
0.0,1914.0,682.0,0.182,13.0
0.0,4276.0,0.0,0.531,60.0
0.0,370.0,0.0,0.336,153.0
0.0,0.0,0.0,0.531,296.0
0.0,4278.0,0.0,0.499,37.0
0.0,371.0,0.0,0.175,82.0
0.0,0.0,49.0,0.486,195.0
0.0,4326.0,0.0,0.531,60.0
0.0,0.0,0.0,0.62,328.0
0.0,3923.0,620.0,0.68,24.0
0.0,3649.0,655.0,0.277,3.0
0.0,0.0,0.0,0.547,145.0
0.0,1965.0,0.0,0.427,173.0
0.0,1451.0,6.0,0.584,104.0
0.0,1532.0,768.0,0.246,46.0
0.0,845.0,0.0,0.684,272.0
0.0,0.0,131.0,0.534,265.0
0.0,1457.0,537.0,0.285,108.0
0.0,3496.0,0.0,0.531,162.0
0.0,4207.0,0.0,0.345,18.0
0.0,0.0,0.0,0.531,70.0
0.0,2059.0,103.0,0.663,224.0
0.0,629.0,0.0,0.531,213.0
0.0,802.0,802.0,0.195,98.0
0.0,2771.0,0.0,0.743,91.0
0.0,1163.0,0.0,0.531,51.0
0.0,3595.0,0.0,0.409,29.0
0.0,0.0,438.0,0.279,79.0
0.0,1786.0,585.0,0.1,2.0
0.0,0.0,0.0,0.454,209.0
0.0,0.0,61.0,0.705,258.0
0.0,0.0,0.0,0.447,50.0
0.0,0.0,144.0,0.534,124.0
0.0,2958.0,660.0,0.354,65.0
0.0,2936.0,0.0,0.504,88.0
0.0,2338.0,0.0,0.449,30.0
0.0,1165.0,0.0,0.609,117.0
0.0,786.0,165.0,0.192,45.0
0.0,1336.0,0.0,0.425,152.0
0.0,0.0,300.0,0.526,185.0
0.0,3288.0,74.0,0.081,14.0
0.0,0.0,112.0,0.534,332.0
0.0,0.0,66.0,0.525,144.0
0.0,2735.0,251.0,0.459,9.0
0.0,0.0,0.0,0.622,163.0
0.0,4305.0,27.0,0.388,123.0
0.0,4129.0,0.0,0.438,35.0
0.0,1288.0,0.0,0.616,202.0
0.0,0.0,0.0,0.531,296.0
0.0,2721.0,0.0,0.69,62.0
0.0,0.0,95.0,0.727,272.0
0.0,4295.0,0.0,0.531,192.0
0.0,1554.0,16.0,0.117,20.0
0.0,0.0,0.0,0.495,227.0
0.0,0.0,0.0,0.584,99.0
0.0,5179.0,699.0,0.233,0.0
0.0,5223.0,3.0,0.681,213.0
0.0,4835.0,494.0,0.136,24.0
0.0,866.0,75.0,0.662,119.0
0.0,0.0,31.0,0.376,224.0
0.0,2823.0,0.0,0.452,31.0
0.0,3008.0,0.0,0.49,114.0
0.0,185.0,0.0,0.531,257.0
0.0,2255.0,36.0,0.156,84.0
0.0,113.0,0.0,0.654,168.0
0.0,0.0,0.0,0.69,333.0
0.0,3493.0,574.0,0.111,2.0
0.0,4086.0,0.0,0.467,37.0
0.0,28.0,0.0,0.531,106.0
0.0,565.0,160.0,0.528,168.0
0.0,0.0,0.0,0.531,102.0
0.0,2143.0,729.0,0.224,5.0
0.0,171.0,18.0,0.603,50.0
0.0,1244.0,466.0,0.049,31.0
0.0,4395.0,0.0,0.512,144.0
0.0,1495.0,0.0,0.534,191.0
0.0,274.0,7.0,0.782,323.0
0.0,2994.0,129.0,0.534,40.0
0.0,3403.0,302.0,0.539,132.0
0.0,0.0,0.0,0.701,362.0
0.0,4908.0,298.0,0.069,46.0
0.0,4299.0,0.0,0.533,197.0
0.0,490.0,490.0,0.198,102.0
0.0,3467.0,726.0,0.344,1.0
0.0,4668.0,148.0,0.544,30.0
0.0,7.0,11.0,0.79,304.0
0.0,884.0,29.0,0.299,165.0
0.0,556.0,556.0,0.1,66.0
0.0,4425.0,9.0,0.677,258.0
0.0,770.0,198.0,0.659,13.0
0.0,3751.0,0.0,0.676,10.0
0.0,1742.0,739.0,0.095,19.0
0.0,0.0,0.0,0.531,303.0
0.0,4221.0,0.0,0.501,38.0
0.0,4432.0,0.0,0.611,46.0
0.0,0.0,0.0,0.534,223.0
0.0,673.0,0.0,0.531,233.0
0.0,2806.0,0.0,0.221,23.0
0.0,465.0,0.0,0.576,292.0
0.0,282.0,0.0,0.501,33.0
0.0,0.0,7.0,0.677,301.0
0.0,0.0,0.0,0.526,288.0
0.0,2102.0,43.0,0.082,31.0
0.0,3895.0,132.0,0.028,14.0
0.0,0.0,0.0,0.49,253.0
0.0,3005.0,486.0,0.234,23.0
0.0,1507.0,0.0,0.531,209.0
0.0,0.0,15.0,0.268,228.0
0.0,3935.0,0.0,0.654,187.0
0.0,1755.0,1.0,0.872,389.0
0.0,0.0,152.0,0.779,229.0
0.0,1835.0,0.0,0.507,40.0
0.0,3615.0,31.0,0.355,26.0
0.0,1478.0,21.0,0.163,0.0
0.0,371.0,79.0,0.078,44.0
