is_fraud,email__first_seen_days,phone__last_seen_days,identity_network_score,identity_risk_score
0.0,931.0,148.0,0.247,52.0
0.0,74.0,74.0,0.243,145.0
0.0,0.0,509.0,0.409,216.0
0.0,1075.0,0.0,0.531,84.0
0.0,3901.0,0.0,0.593,76.0
0.0,3062.0,0.0,0.44,14.0
0.0,2017.0,0.0,0.531,23.0
0.0,2962.0,520.0,0.197,62.0
0.0,4243.0,40.0,0.292,18.0
1.0,1044.0,0.0,0.499,87.0
0.0,3406.0,475.0,0.523,45.0
0.0,2932.0,76.0,0.212,9.0
0.0,9.0,9.0,0.313,195.0
0.0,0.0,0.0,0.531,286.0
0.0,1243.0,304.0,0.526,190.0
0.0,0.0,0.0,0.378,209.0
0.0,2938.0,0.0,0.483,132.0
0.0,4219.0,578.0,0.24,72.0
0.0,4059.0,449.0,0.325,8.0
0.0,1917.0,0.0,0.531,96.0
0.0,4482.0,0.0,0.628,29.0
0.0,1094.0,529.0,0.255,97.0
0.0,752.0,752.0,0.179,81.0
0.0,795.0,168.0,0.396,166.0
0.0,4629.0,676.0,0.303,3.0
0.0,3439.0,0.0,0.674,74.0
0.0,4817.0,528.0,0.245,3.0
0.0,287.0,588.0,0.2,102.0
0.0,1737.0,0.0,0.436,57.0
0.0,440.0,320.0,0.299,125.0
0.0,3366.0,46.0,0.629,22.0
0.0,2788.0,0.0,0.486,87.0
0.0,3583.0,0.0,0.634,11.0
0.0,0.0,14.0,0.702,350.0
0.0,20.0,20.0,0.306,205.0
0.0,0.0,37.0,0.569,309.0
0.0,19.0,19.0,0.447,214.0
0.0,4752.0,847.0,0.169,54.0
0.0,1823.0,0.0,0.495,61.0
0.0,1281.0,32.0,0.504,174.0
0.0,1706.0,0.0,0.628,154.0
0.0,2692.0,572.0,0.136,0.0
0.0,84.0,0.0,0.462,249.0
0.0,1589.0,15.0,0.752,261.0
0.0,0.0,162.0,0.534,293.0
0.0,1094.0,49.0,0.18,72.0
0.0,4685.0,0.0,0.654,240.0
0.0,1033.0,0.0,0.531,191.0
0.0,278.0,11.0,0.673,323.0
0.0,4903.0,46.0,0.389,133.0
0.0,2915.0,385.0,0.465,14.0
0.0,2101.0,0.0,0.531,80.0
0.0,719.0,0.0,0.348,166.0
0.0,583.0,0.0,0.541,249.0
0.0,3553.0,590.0,0.104,53.0
1.0,414.0,0.0,0.573,102.0
0.0,1429.0,410.0,0.114,11.0
0.0,0.0,0.0,0.531,289.0
0.0,1834.0,0.0,0.536,15.0
0.0,3572.0,132.0,0.143,43.0
0.0,3063.0,73.0,0.787,218.0
0.0,681.0,50.0,0.032,39.0
0.0,3373.0,0.0,0.446,102.0
0.0,116.0,0.0,0.643,328.0
0.0,2906.0,0.0,0.57,144.0
0.0,1572.0,0.0,0.374,60.0
0.0,0.0,0.0,0.579,247.0
0.0,1859.0,0.0,0.467,126.0
0.0,4809.0,0.0,0.565,185.0
0.0,1184.0,0.0,0.654,58.0
0.0,21.0,0.0,0.71,361.0
0.0,0.0,586.0,0.49,286.0
0.0,2988.0,536.0,0.094,7.0
0.0,4442.0,0.0,0.531,193.0
0.0,4501.0,0.0,0.448,88.0
0.0,3733.0,0.0,0.45,19.0
0.0,3968.0,194.0,0.483,44.0
0.0,0.0,88.0,0.686,184.0
0.0,2278.0,9.0,0.046,1.0
0.0,3025.0,0.0,0.513,121.0
0.0,4422.0,0.0,0.531,78.0
0.0,2867.0,0.0,0.494,8.0
0.0,0.0,0.0,0.531,283.0
0.0,2881.0,7.0,0.021,0.0
0.0,3289.0,457.0,0.197,73.0
0.0,1556.0,9.0,0.119,5.0
0.0,1488.0,0.0,0.495,13.0
0.0,4310.0,0.0,0.531,100.0
0.0,4574.0,0.0,0.61,101.0
0.0,0.0,0.0,0.531,289.0
0.0,4950.0,103.0,0.186,44.0
0.0,2932.0,0.0,0.496,155.0
0.0,3663.0,440.0,0.209,3.0
0.0,3587.0,15.0,0.232,17.0
0.0,4246.0,19.0,0.512,162.0
0.0,546.0,546.0,0.173,51.0
0.0,3334.0,0.0,0.351,162.0
0.0,3008.0,558.0,0.547,137.0
0.0,1830.0,246.0,0.172,7.0
0.0,33.0,0.0,0.332,94.0
0.0,0.0,0.0,0.531,153.0
0.0,2983.0,173.0,0.139,0.0
0.0,3276.0,19.0,0.551,97.0
0.0,2938.0,0.0,0.563,34.0
0.0,3747.0,158.0,0.122,49.0
0.0,0.0,521.0,0.516,230.0
0.0,1281.0,0.0,0.531,217.0
0.0,2878.0,33.0,0.158,55.0
0.0,873.0,0.0,0.531,144.0
0.0,4554.0,0.0,0.54,133.0
0.0,4109.0,0.0,0.654,29.0
0.0,1149.0,30.0,0.273,141.0
0.0,0.0,68.0,0.598,251.0
0.0,2916.0,53.0,0.088,1.0
0.0,0.0,0.0,0.531,99.0
0.0,2192.0,468.0,0.099,0.0
0.0,2928.0,821.0,0.256,45.0
0.0,1298.0,0.0,0.531,191.0
0.0,319.0,55.0,0.54,92.0
0.0,1454.0,657.0,0.195,40.0
0.0,0.0,0.0,0.531,119.0
0.0,4611.0,0.0,0.531,19.0
0.0,670.0,668.0,0.181,98.0
0.0,3548.0,444.0,0.221,22.0
0.0,3546.0,95.0,0.081,7.0
0.0,4188.0,623.0,0.281,44.0
0.0,509.0,509.0,0.176,8.0
0.0,2799.0,276.0,0.186,3.0
0.0,4194.0,93.0,0.35,43.0
0.0,1255.0,0.0,0.5,51.0
0.0,815.0,39.0,0.098,0.0
0.0,1338.0,0.0,0.454,37.0
0.0,0.0,0.0,0.531,262.0
0.0,883.0,0.0,0.27,20.0
0.0,4155.0,43.0,0.158,55.0
0.0,2216.0,0.0,0.548,41.0
0.0,592.0,96.0,0.07,41.0
0.0,4741.0,0.0,0.498,11.0
0.0,3268.0,2.0,0.92,323.0
0.0,1097.0,68.0,0.155,8.0
0.0,0.0,0.0,0.531,277.0
0.0,1273.0,318.0,0.271,10.0
0.0,4406.0,677.0,0.081,26.0
0.0,0.0,0.0,0.499,259.0
0.0,2735.0,129.0,0.702,69.0
0.0,5167.0,0.0,0.529,141.0
0.0,0.0,778.0,0.483,119.0
0.0,558.0,0.0,0.531,199.0
0.0,0.0,1.0,0.917,416.0
0.0,0.0,0.0,0.531,119.0
0.0,180.0,339.0,0.491,78.0
0.0,4499.0,852.0,0.236,109.0
0.0,2513.0,78.0,0.299,123.0
0.0,1451.0,29.0,0.377,98.0
0.0,0.0,0.0,0.531,282.0
0.0,186.0,0.0,0.444,228.0
0.0,286.0,459.0,0.052,12.0
0.0,2964.0,548.0,0.255,12.0
0.0,0.0,47.0,0.698,370.0
0.0,981.0,60.0,0.614,223.0
0.0,1547.0,0.0,0.531,181.0
0.0,0.0,0.0,0.452,197.0
0.0,890.0,479.0,0.122,17.0
0.0,3022.0,0.0,0.497,182.0
0.0,0.0,9.0,0.399,206.0
0.0,0.0,0.0,0.477,210.0
0.0,4496.0,0.0,0.559,120.0
0.0,170.0,0.0,0.481,258.0
0.0,0.0,21.0,0.619,306.0
0.0,0.0,66.0,0.411,244.0
1.0,4782.0,0.0,0.571,117.0
0.0,1812.0,0.0,0.37,26.0
0.0,1137.0,0.0,0.647,303.0
0.0,4413.0,256.0,0.255,149.0
0.0,3330.0,0.0,0.531,222.0
0.0,2487.0,191.0,0.139,0.0
0.0,3993.0,0.0,0.603,37.0
0.0,3268.0,2.0,0.92,321.0
0.0,0.0,0.0,0.554,61.0
0.0,1585.0,0.0,0.531,177.0
0.0,4518.0,0.0,0.531,60.0
0.0,0.0,37.0,0.434,118.0
0.0,1649.0,562.0,0.309,24.0
0.0,3009.0,0.0,0.531,32.0
0.0,2536.0,338.0,0.678,172.0
0.0,1967.0,486.0,0.391,66.0
0.0,2226.0,0.0,0.506,88.0
0.0,125.0,125.0,0.235,9.0
0.0,4218.0,3.0,0.939,210.0
0.0,1482.0,208.0,0.123,74.0
0.0,2239.0,10.0,0.085,43.0
0.0,0.0,0.0,0.531,280.0
0.0,993.0,0.0,0.505,181.0
0.0,0.0,0.0,0.531,299.0
0.0,1789.0,0.0,0.144,4.0
0.0,4891.0,0.0,0.531,165.0
0.0,420.0,610.0,0.226,115.0
0.0,0.0,393.0,0.776,191.0
0.0,4476.0,162.0,0.217,70.0
0.0,3473.0,0.0,0.569,64.0
0.0,1321.0,11.0,0.26,109.0
0.0,111.0,0.0,0.459,248.0
0.0,0.0,84.0,0.525,270.0
0.0,973.0,0.0,0.419,31.0
0.0,4199.0,7.0,0.515,110.0
0.0,693.0,0.0,0.528,130.0
0.0,547.0,547.0,0.066,7.0
0.0,4120.0,0.0,0.503,12.0
0.0,2717.0,0.0,0.539,160.0
0.0,0.0,0.0,0.512,126.0
0.0,1604.0,3.0,0.621,231.0
0.0,0.0,0.0,0.536,268.0
0.0,0.0,0.0,0.531,243.0
0.0,4093.0,0.0,0.32,23.0
0.0,4843.0,68.0,0.199,5.0
0.0,1736.0,262.0,0.259,9.0
0.0,1125.0,0.0,0.505,226.0
0.0,1419.0,622.0,0.133,77.0
0.0,294.0,0.0,0.407,213.0
0.0,3549.0,61.0,0.55,213.0
0.0,2956.0,0.0,0.496,160.0
0.0,1919.0,222.0,0.225,4.0
0.0,804.0,88.0,0.034,29.0
0.0,4800.0,0.0,0.531,115.0
0.0,1458.0,101.0,0.281,92.0
0.0,1653.0,126.0,0.136,51.0
0.0,0.0,0.0,0.531,173.0
0.0,1735.0,563.0,0.164,13.0
0.0,0.0,117.0,0.315,125.0
0.0,1674.0,0.0,0.635,28.0
1.0,369.0,0.0,0.531,153.0
0.0,0.0,0.0,0.531,248.0
0.0,51.0,51.0,0.258,168.0
0.0,1195.0,57.0,0.332,142.0
0.0,0.0,0.0,0.538,246.0
0.0,4445.0,72.0,0.892,108.0
0.0,509.0,0.0,0.531,168.0
0.0,4722.0,0.0,0.812,53.0
0.0,2176.0,46.0,0.285,128.0
0.0,2933.0,0.0,0.531,83.0
0.0,0.0,0.0,0.531,208.0
0.0,2184.0,135.0,0.217,16.0
0.0,705.0,0.0,0.532,22.0
0.0,391.0,246.0,0.15,76.0
0.0,194.0,0.0,0.407,196.0
0.0,2214.0,304.0,0.201,10.0
0.0,0.0,461.0,0.284,58.0
0.0,0.0,0.0,0.531,37.0
0.0,3526.0,0.0,0.479,138.0
0.0,4199.0,130.0,0.281,58.0
0.0,0.0,605.0,0.471,217.0
0.0,4747.0,0.0,0.5,62.0
0.0,1458.0,0.0,0.531,175.0
0.0,2043.0,105.0,0.382,8.0
0.0,977.0,0.0,0.531,106.0
0.0,1303.0,22.0,0.034,18.0
0.0,1221.0,0.0,0.531,198.0
0.0,2979.0,462.0,0.287,15.0
0.0,4283.0,0.0,0.499,193.0
0.0,3583.0,0.0,0.896,199.0
0.0,0.0,286.0,0.244,132.0
0.0,2224.0,54.0,0.445,48.0
0.0,2533.0,35.0,0.19,36.0
0.0,0.0,0.0,0.794,367.0
0.0,4748.0,781.0,0.146,0.0
0.0,601.0,492.0,0.193,0.0
0.0,3349.0,0.0,0.701,214.0
0.0,0.0,0.0,0.485,277.0
0.0,2508.0,0.0,0.595,32.0
0.0,2205.0,63.0,0.514,21.0
0.0,2269.0,599.0,0.182,5.0
0.0,1079.0,0.0,0.531,233.0
0.0,1136.0,0.0,0.543,53.0
0.0,458.0,240.0,0.233,49.0
0.0,3460.0,65.0,0.794,134.0
0.0,0.0,0.0,0.544,74.0
0.0,1138.0,0.0,0.312,153.0
0.0,944.0,0.0,0.569,216.0
0.0,4679.0,0.0,0.504,163.0
0.0,2906.0,14.0,0.592,206.0
0.0,360.0,0.0,0.53,177.0
0.0,422.0,0.0,0.538,211.0
0.0,4718.0,663.0,0.128,0.0
0.0,4775.0,206.0,0.084,13.0
0.0,4827.0,0.0,0.47,17.0
0.0,313.0,0.0,0.469,185.0
0.0,297.0,0.0,0.476,96.0
0.0,4523.0,0.0,0.546,44.0
0.0,2072.0,0.0,0.654,28.0
0.0,4317.0,65.0,0.593,10.0
0.0,3367.0,270.0,0.106,1.0
0.0,769.0,77.0,0.053,12.0
0.0,0.0,0.0,0.589,321.0
0.0,439.0,0.0,0.583,127.0
0.0,438.0,0.0,0.34,55.0
0.0,3619.0,209.0,0.155,15.0
0.0,3435.0,0.0,0.531,97.0
0.0,3870.0,64.0,0.122,0.0
0.0,991.0,0.0,0.531,62.0
0.0,57.0,0.0,0.469,142.0
0.0,4654.0,13.0,0.81,259.0
0.0,0.0,64.0,0.506,258.0
0.0,0.0,0.0,0.531,164.0
0.0,1163.0,44.0,0.28,112.0
0.0,1577.0,0.0,0.415,47.0
0.0,3750.0,477.0,0.245,66.0
0.0,3365.0,4.0,0.579,44.0
0.0,2611.0,189.0,0.309,12.0
0.0,4850.0,772.0,0.112,2.0
0.0,1990.0,227.0,0.252,37.0
1.0,2193.0,0.0,0.531,211.0
0.0,3154.0,0.0,0.504,61.0
0.0,2160.0,0.0,0.531,39.0
0.0,3022.0,0.0,0.531,156.0
0.0,1654.0,0.0,0.531,58.0
0.0,4347.0,0.0,0.631,36.0
0.0,4464.0,0.0,0.504,162.0
0.0,507.0,0.0,0.531,41.0
1.0,446.0,0.0,0.699,148.0
0.0,1138.0,0.0,0.476,169.0
0.0,1437.0,68.0,0.575,102.0
0.0,0.0,0.0,0.531,216.0
0.0,1391.0,384.0,0.277,7.0
0.0,1604.0,0.0,0.654,12.0
0.0,2526.0,505.0,0.274,9.0
0.0,1523.0,0.0,0.656,229.0
0.0,1525.0,0.0,0.508,73.0
0.0,425.0,5.0,0.591,256.0
0.0,0.0,0.0,0.531,299.0
0.0,74.0,107.0,0.582,251.0
0.0,4395.0,0.0,0.448,79.0
0.0,4281.0,669.0,0.181,9.0
0.0,1315.0,54.0,0.656,13.0
0.0,378.0,97.0,0.567,216.0
0.0,4904.0,637.0,0.077,10.0
0.0,0.0,0.0,0.531,251.0
0.0,0.0,132.0,0.509,260.0
0.0,0.0,526.0,0.275,13.0
0.0,0.0,0.0,0.499,264.0
0.0,4430.0,0.0,0.484,162.0
0.0,197.0,0.0,0.365,196.0
0.0,2953.0,411.0,0.194,43.0
0.0,4566.0,0.0,0.654,114.0
0.0,0.0,0.0,0.531,188.0
0.0,3284.0,558.0,0.373,33.0
0.0,407.0,23.0,0.535,205.0
0.0,0.0,0.0,0.531,294.0
0.0,663.0,0.0,0.61,148.0
0.0,1621.0,0.0,0.531,133.0
0.0,1926.0,499.0,0.591,82.0
0.0,747.0,0.0,0.498,229.0
0.0,3168.0,0.0,0.444,71.0
0.0,4855.0,2.0,0.856,259.0
0.0,143.0,143.0,0.218,98.0
0.0,4716.0,0.0,0.535,11.0
0.0,2787.0,84.0,0.238,7.0
0.0,698.0,34.0,0.568,26.0
0.0,1628.0,0.0,0.411,68.0
0.0,0.0,460.0,0.223,16.0
0.0,659.0,0.0,0.569,68.0
0.0,3229.0,0.0,0.617,40.0
0.0,5259.0,39.0,0.325,106.0
0.0,0.0,0.0,0.654,130.0
0.0,4232.0,705.0,0.43,67.0
0.0,1885.0,196.0,0.251,14.0
0.0,4348.0,20.0,0.304,33.0
0.0,0.0,188.0,0.514,244.0
0.0,710.0,0.0,0.528,87.0
0.0,1463.0,557.0,0.104,9.0
0.0,1636.0,452.0,0.216,103.0
0.0,193.0,0.0,0.432,201.0
0.0,4387.0,0.0,0.577,43.0
0.0,4402.0,249.0,0.077,2.0
0.0,1633.0,0.0,0.654,250.0
0.0,4348.0,0.0,0.536,25.0
0.0,4309.0,0.0,0.531,85.0
0.0,2990.0,24.0,0.278,7.0
0.0,4636.0,0.0,0.531,93.0
0.0,0.0,0.0,0.688,196.0
0.0,1154.0,0.0,0.276,55.0
0.0,182.0,0.0,0.531,118.0
0.0,2679.0,0.0,0.531,183.0
0.0,685.0,27.0,0.071,29.0
0.0,2992.0,0.0,0.644,42.0
0.0,3662.0,39.0,0.321,24.0
0.0,2894.0,0.0,0.197,9.0
0.0,1823.0,10.0,0.515,111.0
0.0,4748.0,691.0,0.176,45.0
0.0,5055.0,0.0,0.487,31.0
0.0,3467.0,84.0,0.79,115.0
0.0,2517.0,0.0,0.495,30.0
0.0,5104.0,0.0,0.531,56.0
0.0,2576.0,0.0,0.461,13.0
0.0,366.0,28.0,0.132,106.0
0.0,616.0,0.0,0.531,204.0
0.0,4591.0,340.0,0.494,4.0
0.0,0.0,360.0,0.311,36.0
0.0,1881.0,0.0,0.449,24.0
0.0,4224.0,0.0,0.551,42.0
0.0,3007.0,0.0,0.507,183.0
0.0,0.0,0.0,0.559,144.0
0.0,0.0,0.0,0.465,180.0
0.0,1657.0,0.0,0.654,11.0
0.0,1119.0,18.0,0.399,186.0
0.0,1956.0,0.0,0.531,62.0
0.0,3596.0,229.0,0.295,13.0
0.0,0.0,255.0,0.526,267.0
0.0,1734.0,0.0,0.449,63.0
0.0,710.0,0.0,0.531,55.0
0.0,0.0,0.0,0.531,130.0
0.0,1980.0,0.0,0.543,211.0
0.0,3008.0,0.0,0.279,103.0
0.0,1495.0,0.0,0.571,16.0
0.0,0.0,0.0,0.531,257.0
0.0,4348.0,0.0,0.235,30.0
0.0,4289.0,756.0,0.35,123.0
0.0,3228.0,0.0,0.581,37.0
0.0,0.0,27.0,0.543,300.0
0.0,0.0,0.0,0.528,332.0
0.0,4550.0,540.0,0.178,38.0
0.0,2873.0,63.0,0.509,123.0
0.0,555.0,0.0,0.531,259.0
0.0,0.0,0.0,0.531,126.0
0.0,1408.0,106.0,0.222,6.0
0.0,1168.0,0.0,0.261,16.0
0.0,3427.0,14.0,0.211,19.0
0.0,1587.0,556.0,0.228,76.0
0.0,1745.0,0.0,0.201,108.0
0.0,655.0,298.0,0.227,51.0
0.0,4582.0,808.0,0.412,10.0
0.0,1171.0,661.0,0.071,46.0
0.0,2101.0,692.0,0.526,26.0
0.0,2819.0,354.0,0.24,45.0
0.0,0.0,489.0,0.502,131.0
0.0,1235.0,60.0,0.602,234.0
0.0,2908.0,0.0,0.531,234.0
0.0,2563.0,0.0,0.227,11.0
0.0,4172.0,36.0,0.422,121.0
0.0,622.0,0.0,0.382,198.0
0.0,1101.0,18.0,0.225,112.0
0.0,824.0,824.0,0.204,118.0
0.0,0.0,0.0,0.531,243.0
0.0,4387.0,0.0,0.561,19.0
0.0,0.0,34.0,0.525,119.0
0.0,2586.0,0.0,0.723,68.0
0.0,489.0,530.0,0.434,151.0
0.0,3378.0,786.0,0.191,24.0
0.0,1541.0,331.0,0.578,60.0
0.0,0.0,0.0,0.732,342.0
0.0,3277.0,701.0,0.075,0.0
0.0,912.0,52.0,0.148,12.0
0.0,0.0,0.0,0.531,305.0
0.0,1887.0,241.0,0.265,14.0
0.0,576.0,154.0,0.285,62.0
0.0,1379.0,40.0,0.444,67.0
0.0,4521.0,0.0,0.481,34.0
0.0,5099.0,398.0,0.247,21.0
0.0,0.0,0.0,0.5,125.0
0.0,4390.0,237.0,0.09,2.0
0.0,3539.0,0.0,0.507,10.0
0.0,3596.0,0.0,0.639,46.0
0.0,2930.0,601.0,0.32,79.0
0.0,4585.0,0.0,0.467,115.0
0.0,3563.0,646.0,0.115,0.0
0.0,3697.0,0.0,0.2,23.0
0.0,1656.0,20.0,0.222,12.0
0.0,4560.0,100.0,0.27,8.0
0.0,431.0,102.0,0.344,131.0
0.0,204.0,276.0,0.185,124.0
0.0,3327.0,0.0,0.531,222.0
0.0,0.0,370.0,0.531,259.0
0.0,4165.0,15.0,0.123,30.0
0.0,3536.0,40.0,0.466,13.0
0.0,1865.0,0.0,0.184,59.0
0.0,167.0,46.0,0.371,76.0
0.0,0.0,596.0,0.532,83.0
0.0,3577.0,0.0,0.46,105.0
0.0,68.0,0.0,0.291,85.0
0.0,1364.0,0.0,0.341,138.0
0.0,3475.0,0.0,0.454,45.0
0.0,4507.0,71.0,0.293,82.0
0.0,3034.0,596.0,0.114,43.0
0.0,0.0,0.0,0.63,287.0
0.0,0.0,0.0,0.584,98.0
0.0,4329.0,0.0,0.904,380.0
0.0,2086.0,0.0,0.571,118.0
0.0,1299.0,142.0,0.676,264.0
0.0,3278.0,0.0,0.767,239.0
