merchant_id,fee_rate,currency,merchant_name,gmv_nov
101,2.79,AED,Dubai Audio LLC,29613.85
102,4.20,AED,Home and Soul LLC,36515.00
103,4.00,AED,Squat Wolf,414375.93
104,2.70,AED,Bio Foot Medical,304.50
106,3.99,AED,Eggs & Soldiers,10333.00
107,3.99,AED,The Beans,21992.00
108,2.99,AED,Beldi Bazaar,930.37
109,3.99,AED,Strings & beads,
111,3.99,AED,Anotah,
112,3.75,AED,Fit Equip Co,2854.00
113,4.59,AED,Miahy,
114,4.99,AED,Spectra Baby,231277.00
115,3.99,AED,Kcal Extra,1210583.20
117,3.99,AED,Gulfissimo,4198.00
118,2.70,AED,Recovapro,48211.70
119,3.99,AED,XDubai Shop,
120,2.99,AED,Water Filter Experts,19281.65
121,3.99,AED,The Giving Movement,
123,3.99,AED,Urban Nomads,2470.10
124,3.99,AED,Story Of Source,879.60
126,2.70,AED,BioWare,
127,2.70,AED,Seayou,
129,2.70,AED,Origins Collective,720.38
130,2.70,AED,IPU Sports,469.76
131,4.30,AED,Dermalogica,20797.00
132,4.30,AED,Revitalash,14133.70
133,2.50,AED,The Loom Collection,1323586.70
134,3.99,AED,Lush Desert,
135,3.99,AED,The Attic,44689.50
137,3.60,AED,Kite Surf Sup,
139,3.60,AED,Blue Ocean Sports,82690.79
140,4.69,AED,Abrash Carpets,5227.95
141,3.99,AED,IV Four,
142,4.99,AED,Garde Robe,100906.94
144,2.70,AED,Acacia Garden Center,68534.50
145,2.70,AED,Uniflora,238.14
148,3.99,AED,Ramrod Outdoor,4592.30
149,3.60,AED,Ma Sélection,1031.30
150,3.60,AED,Shark Supplements,1279.00
153,3.99,AED,Leatherman,3105.70
154,2.70,AED,Odist,2759.00
161,3.49,SAR,The Entertainer,633996.07
163,3.99,AED,Searush,2839.00
165,3.99,AED,Carter & White,
166,2.99,AED,Eton Institute,118345.76
167,3.60,AED,Saltstick,1730.00
168,3.99,AED,Gym Junkie Apparel,
173,3.99,AED,Lilias Active,133.40
174,2.70,AED,Moon Factory Outlet,2080.92
175,4.99,AED,Filter it now,7880.00
178,4.49,AED,BPC,
179,2.70,AED,Forever Imprint jewellery,50917.08
180,4.49,AED,Marine Hub,75046.48
181,2.70,AED,KAVE The Story of things,24360.41
182,2.70,AED,The Neod,608.00
183,2.70,AED,Executive Business Solutions,5150.00
185,9.99,AED,How2UAE,8800.00
186,4.99,AED,Kashida Design,6191.00
187,3.99,AED,Buy Luggage Online,514.00
188,2.70,AED,Atelier Margot,4065.00
191,3.99,AED,HSN,1412.20
192,3.79,AED,Rebel The Label,633.00
193,2.70,AED,Island People.Co,170.00
194,2.70,AED,Designs Cave,1476.00
195,2.70,AED,Briar Prestige,2442.23
196,4.00,AED,Boutique 1,13902.00
197,4.19,AED,Bloomingbox,11461.00
198,2.70,AED,Carpetar,
199,2.70,AED,Monnet Baby,
200,3.60,AED,Escape Hunt,
201,2.70,AED,Solysombra,1.05
202,3.60,AED,Javed Iqbal Used Auto Spare Parts,137.00
203,2.70,AED,Focal Point Business Center,
204,2.70,AED,Sports Edge,1061.03
206,2.70,AED,Kat & Sage,2941.10
207,4.59,AED,Desert River,3997.00
208,4.99,AED,Best Pets Unlimited,2825.66
209,2.45,AED,Ounass,4993263.88
210,4.99,AED,Rotai,7000.00
211,3.99,AED,Montajat,
212,2.70,AED,Pathwayz Solutionz,
214,3.29,AED,Footlocker,223754.82
215,3.29,AED,West Elm,1225681.74
218,2.70,AED,Shoeq,
219,2.70,AED,Emilia Ohrtmann,
220,2.70,AED,Tied Up With String,29816.50
223,2.70,AED,Haakaa,
224,2.70,AED,EZPZ,
226,3.99,AED,SWEY,
227,2.70,AED,Ooakstones,28403.15
229,3.99,AED,My Sandaly,
230,2.70,AED,Elivana,6787.60
232,2.70,AED,Zoja,1373.00
233,2.70,AED,Apetamin,1397.00
234,3.99,SAR,Tryano,15614.80
236,2.70,AED,Qonooz,
237,4.99,AED,Walls Nation,20196.00
238,4.59,AED,CRYO,122875.00
239,4.59,AED,Reeflections,
240,4.59,AED,La suite,7744.00
241,4.59,AED,Souvenir Gifts,
242,4.59,AED,Adrenaline Travel,33452.00
243,4.59,AED,TunerStop,8832.00
244,2.70,AED,Lush Bumps,4851.20
245,2.70,AED,SG Letters,13155.29
246,3.99,AED,The luxury flavor,130271.00
247,3.99,AED,Morokish,1220.00
248,2.70,AED,Larsa,
249,4.59,AED,BrandDose,
251,4.59,AED,DIGG,
252,2.70,AED,Lamp Shades,348.00
253,4.59,AED,Neeps Consulting,14500.00
254,3.60,AED,ShishaLite,980.73
256,2.70,AED,Ecogardenz,2784.21
258,2.70,AED,Elevenish,43604.00
259,2.70,AED,SolidCore,920.00
261,4.59,AED,Sea Wonders,
262,4.59,AED,Business of Preloved Fashion,63591.84
263,2.70,AED,Juna's Collection,
264,4.59,AED,Kaial,
268,4.69,AED,Capital Supply,
270,3.29,AED,American Eagle,230506.97
271,3.29,AED,Bath and Body Works,801295.60
272,3.29,AED,Boots,62838.50
273,3.29,AED,H&M,
276,3.29,AED,Mothercare,98141.16
277,3.29,AED,Muji,90147.81
278,3.29,AED,Pottery Barn,706634.48
279,3.29,AED,Pottery Barn Kids,349809.09
280,3.29,AED,Victoria's Secret,400060.50
283,4.59,AED,Mattressland,125539.70
287,4.69,AED,Klekktic,49086.25
291,4.69,AED,Ingifity,
293,4.69,AED,Jubilee,2605.87
294,2.70,AED,Gifther arabia,
295,4.69,AED,Tackle Brokers,2645.00
298,2.70,AED,Si by Simona,135.00
301,4.69,AED,Eveons,51445.00
302,3.60,AED,Geepas,14446.80
306,4.69,AED,Odeem,
308,4.69,AED,VBTQE,
311,3.99,AED,Vperfume,56953.15
313,4.69,AED,Kata&Asana,499.41
314,4.69,AED,Combat Sports,
315,2.70,AED,Feesheh,3739.00
316,4.69,AED,Liftdex,14844.00
318,4.20,AED,Music Majlis,49562.00
319,4.69,AED,Virago,2104.25
320,2.70,AED,Nkhan Designs,
323,2.70,AED,The Giftology Co,2060.50
325,4.69,AED,Sported,3186.25
330,4.69,AED,Boco Textile Trading L.L.C,6856.20
331,2.50,AED,Asta Lifestyle,95.00
333,4.69,AED,Emporium Star General Trading L.L.C,10199.00
336,4.19,AED,Sterling Parfums,5666.33
337,3.75,AED,Juventus Academy,57050.00
338,4.69,AED,Modomoro,2250.00
339,2.70,AED,Your Ceramic Store,27914.30
341,4.20,AED,Vtamino,179.85
343,4.69,AED,L’USTURALIA,1955.70
344,4.40,SAR,York Furnishing Fabrics,17614.75
345,4.69,AED,Tabeer Homes,24220.25
346,3.70,AED,Jamr Al Oud,26530.80
347,2.70,AED,Rūt Essentials,1337.70
348,4.20,AED,HolioCare,380.10
349,4.90,AED,Hybrid Hippie,44.00
351,2.70,AED,The Lux Lines,
354,4.69,AED,Yallah Bags,357.00
357,4.69,AED,Nazra,457.85
358,4.69,AED,Hamac Dubai,
360,4.20,AED,Shop Fils,125.00
361,4.69,AED,Bar Enthusiast,161.10
362,2.50,AED,DERMACOL,1465.00
363,4.69,AED,Rocket Linen,
366,4.69,AED,Mud Kitchens Carpentry,38629.00
367,3.99,AED,Qafiya,
369,4.69,AED,Abstract Beautiful,
370,6.00,AED,E-Scooter UAE Hub,89508.00
371,4.40,AED,Amber Mint,1590.68
372,3.99,AED,Desroch,
373,3.60,AED,Runners,
374,4.69,AED,Jokoka DXB,
375,4.45,AED,Moon Kids,35010.16
377,4.69,AED,The Plush Posh,
378,4.69,AED,Earthly,
379,4.49,AED,The Secret Skin,416.80
382,4.30,AED,Vanity Living,21343.00
383,4.69,AED,Romario Sports,
384,2.70,AED,Hypefly,20830.00
388,4.00,AED,Candle Start,12501.00
393,4.69,AED,Aqaurist Hub UAE,1476.00
395,4.49,AED,Gaggia Arabia,15639.00
396,4.69,AED,PLNTD,1194.00
398,4.49,AED,Robam UAE,19995.00
399,4.69,AED,Sacrifice Studio,1265.00
400,3.60,AED,Wingie,93.98
401,4.69,AED,Lykos Living,630.00
402,4.69,AED,Perfume Dubai,3453.11
403,4.49,AED,Nutricook,10616.75
404,4.20,AED,CJ Handmade,
405,4.69,AED,Glamour Accessory,
406,4.00,AED,Asghar Furniture,174738.00
408,4.69,AED,Saffron Skins,102.00
411,4.49,AED,Sage Appliances,21387.00
412,3.60,AED,Space Smoke,3998.00
413,4.59,AED,Sam Sports,340.00
414,4.69,AED,The Baby Boutique,32.85
419,2.50,AED,Haya's Kitchen,1165.00
420,4.30,AED,Vanyas Closet,
424,4.69,AED,Eieletrics,54060.16
426,4.00,AED,Nature Hedonist,11510.00
427,3.50,AED,800CarGuru,40840.52
428,3.60,AED,Linee,55660.00
429,4.20,AED,GymSouq,6142.32
432,4.69,AED,Lana Al Kamal Jewelry,3912.50
433,4.49,AED,Mad Kicks,49000.00
434,4.69,AED,Nanoz,10662.00
435,4.49,AED,Nutribullet,1275.00
436,3.60,AED,La Maison,6594.50
438,4.69,AED,Zero-G Beds,3547.00
442,4.49,AED,Petiterobe,9063.00
443,4.69,AED,Ajla Style,491.00
446,4.45,AED,Pals Play,8603.28
451,4.59,AED,Beautify,
454,4.69,AED,All`e,
455,4.69,AED,Teami Blends,4240.33
458,4.39,AED,Luqmani Herbs,575.00
466,4.19,AED,Perfume UAE,16229.15
467,4.00,AED,TARAF,
468,4.69,AED,FunkyT,725.00
470,4.20,AED,Zena Presley,
474,4.69,AED,Aesthetics today,29.80
478,4.69,AED,Leap Play,
486,4.30,AED,Miracle Fitness Sports,
489,4.49,AED,Plant Studio,15234.25
492,4.69,AED,Selections,2430.00
493,4.69,AED,EZ Business,
494,4.19,AED,Toulane,468.30
497,4.69,AED,Nooras,4780.00
498,4.39,AED,Garner,40767.06
499,4.00,AED,Sophia Home,41869.00
502,4.39,AED,Revive Ups,3931.31
503,4.39,SAR,AlQudra Sports Equipment,1247.75
504,4.69,AED,United Technical Services,2678.85
506,4.69,AED,Sage Education,100.00
507,3.60,AED,Tavola Shop,
509,4.59,AED,Body Design,65475.00
511,4.69,AED,Sock Sensei,
513,2.70,AED,Fefe Auctions,29.00
517,4.69,AED,MOiSTREET,455.20
523,3.60,AED,My Kaftan,1700.00
525,4.69,AED,Blue Lily,1180.80
532,4.30,AED,FMM,945.00
539,4.69,AED,Yalla-Jump,1285.00
543,2.50,AED,Kings Trader,1312.55
549,4.20,AED,Eyaclean Pro,1394.00
554,4.49,AED,Happy Bees,450.00
555,4.49,AED,OneFamShop,
558,4.54,AED,Opto Watch,160.88
559,4.69,AED,Luminusco,1463.96
562,4.69,SAR,Almubarak Perfumes,716.95
568,3.29,AED,Milano,390.00
569,3.29,AED,New Balance,10934.55
571,4.50,AED,Brandat Outlet,
578,4.69,AED,Amore Boutique,
580,4.69,AED,Beautika Shop,
594,4.59,SAR,Hakm Al Oud,
